Date,AAPL,AMZN,BRK-B,GOOG,GOOGL,JNJ,MSFT,TSLA,UNH,XOM
5/21/2020,81.20182037,126.8403473,192.5428772,70.01277161,73.51959991,133.0287323,187.3531799,63.25008392,278.4211121,38.8265419
5/22/2020,81.39503479,127.1595917,192.2405701,70.11418915,73.59371185,132.6510162,187.5108185,62.88261795,278.3872681,38.78702927
5/26/2020,81.2229538,126.9603195,191.9203033,69.83168793,73.48688507,132.0850983,186.4739685,62.77259827,278.0906982,38.8120842
5/27/2020,81.11532593,127.1853333,192.7335205,69.77158356,73.59908295,132.112793,185.9477539,63.14618683,279.3392639,38.98794174
5/28/2020,81.6523819,127.5093689,194.0973663,69.60732269,73.31916046,132.8297424,183.6960297,64.31996155,281.7712097,40.00418854
5/29/2020,82.16701508,128.0558624,195.8396606,69.94846344,73.60211945,133.6773682,185.0361176,64.78739929,283.0750732,40.05823135
6/1/2020,82.80195618,129.4207916,195.0882721,69.77669525,73.05548096,133.6639709,185.01297,67.4013443,283.0732727,39.96440887
6/2/2020,83.77194214,131.4673157,197.0928955,70.68410492,74.00442505,134.1273193,187.8582153,68.46637726,284.9641724,40.26203156
6/3/2020,84.78366852,132.121048,198.1898804,71.03199768,74.45840454,134.4963684,189.6273346,68.26409149,286.5162659,40.46253204
6/4/2020,85.57097626,132.7736206,198.8647614,71.27581024,74.66607666,134.8362885,191.2459717,67.78305817,286.7607727,40.5593338
6/5/2020,85.28449249,131.4809265,198.0753326,70.75993347,74.11419678,134.2123871,189.6682587,66.51454926,284.7889404,40.63341141
6/8/2020,86.50370026,132.7257996,199.8245697,71.28529358,74.63420105,135.1848907,191.9998169,66.52506256,286.3648071,40.71479416
6/9/2020,87.69589233,134.0114594,201.4667511,72.11286163,75.11103058,135.8689575,194.6257019,67.03842926,285.7643738,40.96027756
6/10/2020,88.1275177,134.3092041,200.6569519,71.87969208,74.93813324,135.2782898,195.2373047,67.25061035,285.3150024,40.80021667
6/11/2020,87.96875,134.8218384,199.9934845,72.1074295,74.86148834,135.0576935,196.9580536,68.73933411,283.4389954,39.89087677
6/12/2020,85.44528198,130.3697052,193.6042328,70.21615601,73.00836945,132.6615143,190.6213531,65.40605927,277.9488525,39.3037529
6/15/2020,84.04922485,129.7348328,193.555603,69.94360352,73.42263031,132.5385895,191.5159607,63.10449982,276.4660645,38.90494537
6/16/2020,83.89595795,130.0453491,193.6696472,69.68638611,73.54277039,132.3014526,191.6982574,63.08342361,276.900238,38.72450256
6/17/2020,85.01724243,133.017395,194.9489594,70.66400146,74.41911316,132.8492584,195.2661743,65.48519135,278.697937,38.52817535
6/18/2020,85.61190796,134.3471069,195.0457764,70.79597473,74.65388489,132.8600464,195.7434235,67.02510834,280.2524414,38.5981636
6/19/2020,85.96940613,135.1530762,194.7916412,70.77539825,74.63127136,132.9827271,196.2616119,67.91570282,280.8452148,38.58975601
